Image URL,Dominant Color
https://images.metmuseum.org/CRDImages/es/web-large/DP248137.jpg,#a4a099
https://images.metmuseum.org/CRDImages/es/web-large/DP103152.jpg,#737372
https://images.metmuseum.org/CRDImages/ep/web-large/DP-19631-001.jpg,#2a2010
https://images.metmuseum.org/CRDImages/ep/web-large/DP-12413-001.jpg,#110b04
https://images.metmuseum.org/CRDImages/ep/web-large/DP226145.jpg,#2d2315
https://images.metmuseum.org/CRDImages/ep/web-large/DP352819.jpg,#2a2118
https://images.metmuseum.org/CRDImages/ep/web-large/DP-17060-001.jpg,#221b12
https://images.metmuseum.org/CRDImages/ep/web-large/DP-26973-001.jpg,#1e1910
https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-011.jpg,#2a2316
https://images.metmuseum.org/CRDImages/as/web-large/2015_300_270_Burke_website.jpg,#c6cacd
https://images.metmuseum.org/CRDImages/ep/web-large/DT2722.jpg,#2b1e18
https://images.metmuseum.org/CRDImages/is/web-large/DP236783.JPG,#d2d1cf
https://images.metmuseum.org/CRDImages/es/web-large/DP114207.jpg,#aaa8a6
https://images.metmuseum.org/CRDImages/is/web-large/DP229989.jpg,#80593b
https://images.metmuseum.org/CRDImages/es/web-large/DP234110.jpg,#625c55
https://images.metmuseum.org/CRDImages/as/web-large/DP362575.jpg,#806239
https://images.metmuseum.org/CRDImages/is/web-large/DP246547.jpg,#ba9a6f
https://images.metmuseum.org/CRDImages/ep/web-large/DP145929.jpg,#251b10
https://images.metmuseum.org/CRDImages/ep/web-large/DP-20593-001.jpg,#1e130d
https://images.metmuseum.org/CRDImages/ep/web-large/DT5154.jpg,#7f643b
https://images.metmuseum.org/CRDImages/ep/web-large/DP-19542-001.jpg,#24180c
https://images.metmuseum.org/CRDImages/ep/web-large/DP120945.jpg,#36291a
https://images.metmuseum.org/CRDImages/ep/web-large/DP120565.jpg,#3a311f
https://images.metmuseum.org/CRDImages/ep/web-large/DP-29324-001.jpg,#372518
https://images.metmuseum.org/CRDImages/ep/web-large/DP-16333-001.jpg,#251e16
https://images.metmuseum.org/CRDImages/ep/web-large/DP145924.jpg,#2e2920
https://images.metmuseum.org/CRDImages/ep/web-large/DP-20747-001.jpg,#231d17
https://images.metmuseum.org/CRDImages/ep/web-large/DP-14286-015.jpg,#432917
https://images.metmuseum.org/CRDImages/ep/web-large/DP328663.jpg,#2e231c
https://images.metmuseum.org/CRDImages/ep/web-large/DT1387.jpg,#2d160a
https://images.metmuseum.org/CRDImages/ep/web-large/DP143181.jpg,#685c4f
https://images.metmuseum.org/CRDImages/ep/web-large/DP-24114-001.jpg,#221d16
https://images.metmuseum.org/CRDImages/ep/web-large/DP143208.jpg,#a69b85
https://images.metmuseum.org/CRDImages/as/web-large/DP352198.jpg,#c7ad92
https://images.metmuseum.org/CRDImages/as/web-large/DP200661_CRD.jpg,#b5976e
https://images.metmuseum.org/CRDImages/ep/web-large/DP152164.jpg,#21170e
https://images.metmuseum.org/CRDImages/ep/web-large/DP-944-001.jpg,#100d09
https://images.metmuseum.org/CRDImages/is/web-large/DP231328.jpg,#ae906f
https://images.metmuseum.org/CRDImages/ep/web-large/DP-17628-001.jpg,#272215
https://images.metmuseum.org/CRDImages/ep/web-large/DP-14286-001.jpg,#211d14
https://images.metmuseum.org/CRDImages/ep/web-large/DP143209.jpg,#2c2016
https://images.metmuseum.org/CRDImages/dp/web-large/DP825431.jpg,#5a534d
https://images.metmuseum.org/CRDImages/ep/web-large/DP239023.jpg,#28221b
https://images.metmuseum.org/CRDImages/ep/web-large/DP145942.jpg,#9a9986
https://images.metmuseum.org/CRDImages/ep/web-large/DP123854.jpg,#322517
https://images.metmuseum.org/CRDImages/as/web-large/DP361158.jpg,#c0a688
https://images.metmuseum.org/CRDImages/as/web-large/DP704873.jpg,#5c5242
https://images.metmuseum.org/CRDImages/as/web-large/DP154156_CRD.jpg,#e6dbc1
https://images.metmuseum.org/CRDImages/es/web-large/DP152958.jpg,#c7c7c7
https://images.metmuseum.org/CRDImages/as/web-large/DP-12432-004.jpg,#baa183
https://images.metmuseum.org/CRDImages/ep/web-large/DT6144.jpg,#7a5e34
https://images.metmuseum.org/CRDImages/ep/web-large/DP123844.jpg,#2f2a18
https://images.metmuseum.org/CRDImages/ep/web-large/ep55.135.1.R.jpg,#321d12
