Century,Color Category,Percentage
15th Century,Red,80.0
15th Century,Blue,12.075471698113208
15th Century,Green,7.9245283018867925
16th Century,Red,74.9271137026239
16th Century,Blue,9.329446064139942
16th Century,Other,5.830903790087463
16th Century,Green,9.912536443148689
17th Century,Red,80.0
17th Century,Other,1.8867924528301887
17th Century,Blue,9.811320754716983
17th Century,Green,8.30188679245283
18th Century,Red,61.73913043478261
18th Century,Blue,9.565217391304348
18th Century,Green,10.0
18th Century,Other,18.695652173913043
19th Century,Red,68.60759493670886
19th Century,Green,14.177215189873419
19th Century,Blue,16.962025316455694
19th Century,Other,0.25316455696202533
20th Century,Red,67.6923076923077
20th Century,Blue,16.307692307692307
20th Century,Green,12.923076923076923
20th Century,Other,3.076923076923077
